"state","county","staycz_pooled_pooled_mean"
28,47,0.59479654
28,47,0.61039209
28,47,0.6540854
28,49,0.53706563
28,49,0.49835858
28,49,0.74400842
28,49,0.70856303
28,49,0.64611989
28,49,0.76914036
28,49,0.82291436
28,49,0.7549063
28,49,0.79545587
28,49,0.78422552
28,49,0.83486944
28,49,0.85568243
28,49,0.827393
28,49,0.65688121
28,49,0.39827353
28,49,0.47356123
28,49,0.74288279
28,49,0.79293966
28,49,0.79539144
28,49,0.76602089
28,49,0.77066284
28,49,0.75279862
28,49,0.73623639
28,49,0.7494545
28,49,0.78302968
28,49,0.79962492
28,49,0.8072623
28,49,0.72291094
28,49,0.72528219
28,49,0.77117687
28,49,0.70121688
28,49,0.72340024
28,49,0.70566082
28,49,0.49015591
28,49,0.49149328
28,49,0.72795516
28,49,0.68148983
28,49,0.74402761
28,49,0.75218004
28,49,0.60126168
28,49,0.62782091
28,49,0.58946425
28,49,0.69511914
28,49,0.72829312
28,49,0.69875532
28,49,0.79918814
28,49,0.61578286
28,49,0.5589065
28,49,0.63524795
28,49,0.68246436
28,49,0.75308949
28,49,0.69566643
28,49,0.78590727
28,49,0.78109211
28,49,0.70789915
28,49,0.71041614
28,49,0.63765329
28,49,0.65541607
28,49,0.728109
28,49,0.73964262
28,49,0.75215936
28,49,0.70855647
28,49,0.87379128
28,49,0.8445763
28,51,0.53779131
28,51,0.43881315
28,51,0.48542726
28,51,0.48598921
28,51,0.52177471
28,53,0.46006605
28,53,0.43402043
28,53,0.44544291
28,55,0.47072986
28,57,0.70778084
28,57,0.81847095
28,57,0.71981496
28,57,0.65638047
28,57,0.79196656
28,59,0.69256991
28,59,0.71484488
28,59,0.7594831
28,59,0.71490991
28,59,0.74671739
28,59,0.68276531
28,59,0.67444783
28,59,0.57811791
28,59,0.59511673
28,59,0.52448905
28,59,0.61287534
28,59,0.59112513
28,59,0.61439121
28,59,0.63224268
28,59,0.69926298
28,59,0.62085015
28,59,0.70917475
28,59,0.73221958
28,59,0.63745487
28,59,0.61064821
28,59,0.64230293
28,59,0.65540493
28,59,0.71114844
28,59,0.68230826
28,59,0.59402448
28,59,0.52279979
28,59,0.76600099
28,59,0.65079379
28,61,0.54573321
28,61,0.57806414
28,61,0.68219078
28,61,0.65869188
28,63,0.4911831
28,63,0.56574112
28,65,0.62087989
28,65,0.74471009
28,65,0.55238426
28,67,0.67814708
28,67,0.66462368
28,67,0.67018968
28,67,0.65132272
28,67,0.46992505
28,67,0.56681997
28,67,0.53025526
28,67,0.67618465
28,67,0.70668483
28,67,0.72533697
28,67,0.69626313
28,67,0.66099882
28,67,0.66458154
28,67,NA
28,69,0.61502182
28,69,0.72932059
28,71,0.5845896
28,71,0.50163639
28,71,0.50663602
28,71,0.51076937
28,71,0.48333371
28,71,0.50444067
28,71,0.62253344
28,71,0.63083482
28,71,0.68010211
28,71,0.62182176
28,73,0.71944207
28,73,0.57350612
28,73,0.46927771
28,73,0.51779145
28,73,0.55705309
28,73,0.67616606
28,73,0.71821481
28,73,0.59554219
28,75,0.64803106
28,75,0.57959956
28,75,0.68144298
28,75,0.73939621
28,75,0.66586131
28,75,0.6731565
28,75,0.58722365
28,75,0.50395381
28,75,0.43357569
28,75,0.44274798
28,75,0.63533962
28,75,0.56539339
28,75,0.60644436
28,75,0.60633808
28,75,0.66469955
28,75,0.67011267
28,75,0.68783855
28,75,0.70784879
28,75,NA
28,77,0.54830623
28,77,0.59984177
28,77,0.68137258
28,79,0.69301283
28,79,0.71503955
28,79,0.76340866
28,79,0.71786195
28,79,0.71758509
28,81,0.68244565
28,81,0.68359399
28,81,0.64884365
28,81,0.69876605
28,81,0.71024573
28,81,0.68313015
28,81,0.71767956
28,81,0.51124203
28,81,0.58547652
28,81,0.56571835
28,81,0.63849199
28,81,0.63858211
28,81,0.55527538
28,81,0.57997686
28,81,0.5430516
28,81,0.81986523
28,81,0.6635555
28,81,0.72201854
28,83,0.53113258
28,83,0.48277721
28,83,0.54765141
28,83,0.51531684
28,83,0.3966471
28,83,0.52472448
28,83,0.53227007
28,83,0.51997328
28,85,0.58599597
28,85,0.62668109
28,85,0.6822328
28,85,0.67176223
28,85,0.64596784
28,85,0.54800981
28,87,0.5692119
28,87,0.54955328
28,87,0.4113442
28,87,0.43525994
28,87,0.5876357
28,87,0.56865895
28,87,0.54004163
28,87,0.54975367
28,87,0.54047382
28,87,0.59430891
28,87,0.63985634
28,87,0.54904956
28,87,0.5073958
28,87,0.65458077
28,89,0.59482294
28,89,0.47492886
28,89,0.59966117
28,89,0.58761299
28,89,0.56931317
28,89,0.60922259
28,89,0.58890265
28,89,0.57536542
28,89,0.62082446
28,89,0.54894996
28,89,0.51582223
28,89,0.46892333
28,89,0.56038064
28,89,0.74849564
28,89,0.70682073
28,89,0.80895811
28,89,0.85428649
28,89,0.84665143
28,89,0.7798714
28,89,0.7516073
28,89,0.74388069
28,91,0.56138664
28,91,0.66088253
28,91,0.5375464
28,91,0.50190765
28,91,0.5922575
28,91,0.66318929
28,93,0.77855003
28,93,0.77207774
28,93,0.80565411
28,93,0.78098845
28,93,0.75652534
28,93,0.73883605
28,95,0.7085644
